collection	feature
Hallmark	HALLMARK_ADIPOGENESIS
Hallmark	HALLMARK_ALLOGRAFT_REJECTION
Hallmark	HALLMARK_ANDROGEN_RESPONSE
Hallmark	HALLMARK_ANGIOGENESIS
Hallmark	HALLMARK_APICAL_JUNCTION
Hallmark	HALLMARK_APICAL_SURFACE
Hallmark	HALLMARK_APOPTOSIS
Hallmark	HALLMARK_BILE_ACID_METABOLISM
Hallmark	HALLMARK_CHOLESTEROL_HOMEOSTASIS
Hallmark	HALLMARK_COAGULATION
Hallmark	HALLMARK_COMPLEMENT
Hallmark	HALLMARK_DNA_REPAIR
Hallmark	HALLMARK_E2F_TARGETS
Hallmark	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
Hallmark	HALLMARK_ESTROGEN_RESPONSE_EARLY
Hallmark	HALLMARK_ESTROGEN_RESPONSE_LATE
Hallmark	HALLMARK_FATTY_ACID_METABOLISM
Hallmark	HALLMARK_G2M_CHECKPOINT
Hallmark	HALLMARK_GLYCOLYSIS
Hallmark	HALLMARK_HEDGEHOG_SIGNALING
Hallmark	HALLMARK_HEME_METABOLISM
Hallmark	HALLMARK_HYPOXIA
Hallmark	HALLMARK_IL2_STAT5_SIGNALING
Hallmark	HALLMARK_IL6_JAK_STAT3_SIGNALING
Hallmark	HALLMARK_INFLAMMATORY_RESPONSE
Hallmark	HALLMARK_INTERFERON_ALPHA_RESPONSE
Hallmark	HALLMARK_INTERFERON_GAMMA_RESPONSE
Hallmark	HALLMARK_KRAS_SIGNALING_DN
Hallmark	HALLMARK_KRAS_SIGNALING_UP
Hallmark	HALLMARK_MITOTIC_SPINDLE
Hallmark	HALLMARK_MTORC1_SIGNALING
Hallmark	HALLMARK_MYC_TARGETS_V1
Hallmark	HALLMARK_MYC_TARGETS_V2
Hallmark	HALLMARK_MYOGENESIS
Hallmark	HALLMARK_NOTCH_SIGNALING
Hallmark	HALLMARK_OXIDATIVE_PHOSPHORYLATION
Hallmark	HALLMARK_P53_PATHWAY
Hallmark	HALLMARK_PANCREAS_BETA_CELLS
Hallmark	HALLMARK_PEROXISOME
Hallmark	HALLMARK_PI3K_AKT_MTOR_SIGNALING
Hallmark	HALLMARK_PROTEIN_SECRETION
Hallmark	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY
Hallmark	HALLMARK_SPERMATOGENESIS
Hallmark	HALLMARK_TGF_BETA_SIGNALING
Hallmark	HALLMARK_TNFA_SIGNALING_VIA_NFKB
Hallmark	HALLMARK_UNFOLDED_PROTEIN_RESPONSE
Hallmark	HALLMARK_UV_RESPONSE_DN
Hallmark	HALLMARK_UV_RESPONSE_UP
Hallmark	HALLMARK_WNT_BETA_CATENIN_SIGNALING
Hallmark	HALLMARK_XENOBIOTIC_METABOLISM
ImmuneSignature	ANGIOGENESIS
ImmuneSignature	ANTIGEN_PRESENTATION
ImmuneSignature	CD8_NK
ImmuneSignature	CYTOLYTIC_ACTIVITY
ImmuneSignature	ECM_REMODELING
ImmuneSignature	EMT
ImmuneSignature	HYPOXIA
ImmuneSignature	IFNG_RESPONSE
ImmuneSignature	T_CELL_INFLAMED
ImmuneSignature	TGF_BETA_SIGNALING
ImmuneSignature	TREG_MYELOID_SUPPRESSION
Balance	activation
Balance	suppression
Balance	immune_balance_index
Balance	immune_balance_ratio
