feature_set	model	auroc_mean	auroc_sd	auprc_mean	auprc_sd	balanced_accuracy_mean	balanced_accuracy_sd
clinical_plus_bi	linear_svm	0.7783000214915108	0.06319630493884659	0.4438743667521054	0.11034860852087547	0.7396319578766388	0.08058194200979979
clinical_only	elastic_net_logreg	0.7770719159681926	0.06175523588294601	0.4424369159593642	0.11977003465429062	0.6989165592091123	0.05165456249353934
bi_only	elastic_net_logreg	0.7744745325596389	0.0690692480058285	0.40420812754485536	0.09390563456254764	0.7354274124220932	0.07232181313934126
clinical_plus_bi	ridge_logreg	0.7693407479045776	0.06987616340633798	0.4290576087260938	0.11658382287945938	0.7386304534708791	0.07959802003107971
bi_only	linear_svm	0.7682433376316354	0.06868480140626552	0.42031779009587633	0.10325807433984466	0.7210544272512358	0.07927829262005671
clinical_plus_bi	elastic_net_logreg	0.7679738878143134	0.06386680183648957	0.40729260333995465	0.09072793952761285	0.7366269073715882	0.07995046971482289
clinical_only	linear_svm	0.7678763700838169	0.059444204601819546	0.42292238000648247	0.09817969151479015	0.7220793036750484	0.06811256534929332
clinical_plus_bi	xgboost	0.7669761444229529	0.06867583281958775	0.43661871215698755	0.10504603189751284	0.724871588222652	0.06450479497088533
clinical_only	ridge_logreg	0.7669745325596389	0.05441595112240723	0.41653133212777366	0.0987903157698986	0.699451160541586	0.06012026056847293
bi_only	xgboost	0.7667929292929293	0.05558884402780623	0.4222753128359352	0.09417881061625666	0.7203449387491941	0.05852131699226776
bi_only	ridge_logreg	0.7642905114979582	0.06810972518547374	0.40729591000907917	0.08730330810846354	0.7338934558349451	0.07804439316530956
gene_pathway	pasnet	0.7530603911454975	0.06857483113931845	0.44265816668214003	0.10520832886530918	0.6847547281323877	0.09125148698699556
clinical_only	xgboost	0.7273847517730496	0.05463037100177575	0.3821098371401327	0.08027458764317316	0.6625427143778208	0.0468982061823495
