feature_set	model	repeat	fold	auroc	auprc	balanced_accuracy	threshold	best_params
clinical_only	elastic_net_logreg	1	1	0.7670454545454546	0.3338746814682644	0.6827651515151515	0.566694459334773	"{""model__C"": 0.1, ""model__l1_ratio"": 0.3}"
clinical_only	elastic_net_logreg	1	2	0.6998106060606062	0.3115718501062469	0.6827651515151515	0.5939819209671994	"{""model__C"": 0.1, ""model__l1_ratio"": 0.7}"
clinical_only	elastic_net_logreg	1	3	0.7698863636363636	0.4983299724047019	0.6164772727272727	0.5020136569971398	"{""model__C"": 0.01, ""model__l1_ratio"": 0.1}"
clinical_only	elastic_net_logreg	1	4	0.7588652482269505	0.4877638666437164	0.6835106382978724	0.4891724338772285	"{""model__C"": 0.1, ""model__l1_ratio"": 0.9}"
clinical_only	elastic_net_logreg	1	5	0.8802083333333334	0.48619047619047623	0.8020833333333333	0.44487911076132747	"{""model__C"": 0.1, ""model__l1_ratio"": 0.3}"
clinical_only	elastic_net_logreg	2	1	0.8352272727272727	0.6270646336559552	0.6865530303030303	0.4682960056152334	"{""model__C"": 0.1, ""model__l1_ratio"": 0.3}"
clinical_only	elastic_net_logreg	2	2	0.7973484848484849	0.3999819624819625	0.7320075757575758	0.48160013722049727	"{""model__C"": 0.1, ""model__l1_ratio"": 0.7}"
clinical_only	elastic_net_logreg	2	3	0.7159090909090908	0.46704507379289256	0.6268939393939394	0.5215851887889917	"{""model__C"": 0.01, ""model__l1_ratio"": 0.1}"
clinical_only	elastic_net_logreg	2	4	0.8209219858156028	0.4734938672438673	0.7473404255319149	0.5554099058858971	"{""model__C"": 0.1, ""model__l1_ratio"": 0.5}"
clinical_only	elastic_net_logreg	2	5	0.7270833333333333	0.2761436702272615	0.69375	0.515127301995393	"{""model__C"": 0.01, ""model__l1_ratio"": 0.1}"
clinical_only	elastic_net_logreg	3	1	0.6865530303030303	0.28320488347226314	0.6515151515151515	0.5189805990163154	"{""model__C"": 0.01, ""model__l1_ratio"": 0.1}"
clinical_only	elastic_net_logreg	3	2	0.8210227272727272	0.5339485076327182	0.7490530303030303	0.5161702066817014	"{""model__C"": 0.1, ""model__l1_ratio"": 0.5}"
clinical_only	elastic_net_logreg	3	3	0.875	0.5852092352092352	0.75	0.4149114351728364	"{""model__C"": 0.1, ""model__l1_ratio"": 0.3}"
clinical_only	elastic_net_logreg	3	4	0.7907801418439716	0.5872354497354498	0.7269503546099291	0.5808389507217715	"{""model__C"": 0.1, ""model__l1_ratio"": 0.5}"
clinical_only	elastic_net_logreg	3	5	0.7104166666666667	0.2854956091254513	0.6520833333333333	0.4838015427478819	"{""model__C"": 0.1, ""model__l1_ratio"": 0.3}"
